Open,Time,High,low,close
52605.35,14:57:28,52614.19,52605.35,52614.19
52612.55,14:58:32,52612.55,52610.83,52610.83
52608.53,14:59:34,52608.53,52581.24,52581.24
52567.27,15:00:40,52567.27,52537.83,52537.83
